date,price_per_unit,units_sold
2023-01-01,50.54661090188258,0
2023-01-02,52.19318171777195,0
2023-01-03,49.0970368257897,9
2023-01-04,52.607479877346066,0
2023-01-05,50.18269428972735,0
2023-01-06,49.14456681198735,23
2023-01-07,53.177759985044084,0
2023-01-08,52.5029493156175,0
2023-01-09,52.4957818790277,0
2023-01-10,52.7795283172956,0
2023-01-11,51.867365505197355,0
2023-01-12,51.61322494078806,0
2023-01-13,53.533737467019535,0
2023-01-14,53.38932468933535,0
2023-01-15,51.40229951829336,0
2023-01-16,52.690331739469755,0
2023-01-17,54.11271945733025,0
2023-01-18,51.507932747680655,0
2023-01-19,53.60654445635593,0
2023-01-20,53.94884209436719,0
2023-01-21,52.75636211746376,0
2023-01-22,54.124860225241534,0
2023-01-23,54.18785268738435,0
2023-01-24,52.16923705605611,0
2023-01-25,53.673357941818914,0
2023-01-26,55.88040716171058,0
2023-01-27,54.4206663958786,0
2023-01-28,54.78097551666309,0
2023-01-29,54.1050093302279,0
2023-01-30,56.87849610607977,0
2023-01-31,56.724063019555906,0
2023-02-01,56.438486417895845,0
2023-02-02,56.922537831539245,0
2023-02-03,54.831967440657166,0
2023-02-04,55.2524298082049,0
2023-02-05,55.487690684905715,0
2023-02-06,54.34664446021518,0
2023-02-07,54.954284943721476,0
2023-02-08,54.89524219444493,0
2023-02-09,56.112141818592505,0
2023-02-10,58.21343912288151,0
2023-02-11,57.931894828168275,0
2023-02-12,58.33791281291622,0
2023-02-13,55.13792818393979,0
2023-02-14,57.453915889048794,0
2023-02-15,55.76423173916007,0
2023-02-16,58.76718048167397,0
2023-02-17,57.56358445174799,0
2023-02-18,56.04056090056839,0
2023-02-19,57.81096803096608,0
2023-02-20,56.331830970399295,0
2023-02-21,59.203990314903,0
2023-02-22,59.19363620411009,0
2023-02-23,57.06716690644936,0
2023-02-24,56.27235072880105,0
2023-02-25,58.467080076425994,0
2023-02-26,56.51476772203187,0
2023-02-27,57.1460209417111,0
2023-02-28,59.83702688229237,0
2023-03-01,59.31151524459458,0
2023-03-02,58.02074145336823,0
2023-03-03,60.540621770833994,0
2023-03-04,59.97731980584245,0
2023-03-05,57.56019424006061,0
2023-03-06,58.49579438582059,0
2023-03-07,60.532889415819625,0
2023-03-08,59.82861448307663,0
2023-03-09,60.46740111133357,0
2023-03-10,58.58702955322957,0
2023-03-11,59.744108340323876,0
2023-03-12,60.528213629416534,0
2023-03-13,60.56438098006341,0
2023-03-14,59.10202849003113,0
2023-03-15,58.355374622865945,0
2023-03-16,61.230210533443135,0
2023-03-17,61.03113190305079,0
2023-03-18,58.92156742796413,0
2023-03-19,61.70282219915271,0
2023-03-20,61.68704968744361,0
2023-03-21,59.85333650751426,0
2023-03-22,60.1264777436013,0
2023-03-23,59.18774625135829,0
2023-03-24,61.21715081573642,0
2023-03-25,59.28047041669096,0
2023-03-26,59.69696665668675,0
2023-03-27,60.84182645283094,0
2023-03-28,61.07557530774159,0
2023-03-29,58.94770728124901,0
2023-03-30,58.20041928565064,0
2023-03-31,61.045916813514026,0
2023-04-01,60.08825869251495,0
2023-04-02,59.93250914033387,0
2023-04-03,61.38195738444017,0
2023-04-04,60.776119147443055,0
2023-04-05,58.93807609898138,0
2023-04-06,61.89574311911942,0
2023-04-07,58.041139066689425,0
2023-04-08,60.26475698654467,0
2023-04-09,61.019260966811565,0
2023-04-10,58.009112285063594,0
2023-04-11,61.5329743798068,0
2023-04-12,58.833846184381045,0
2023-04-13,61.613104606699316,0
2023-04-14,61.72303569469467,0
2023-04-15,60.033768437486074,0
2023-04-16,61.60635505730438,0
2023-04-17,61.386530460040106,0
2023-04-18,60.34023780591684,0
2023-04-19,57.544836217714916,0
2023-04-20,58.57768843439916,0
2023-04-21,58.0259899622464,0
2023-04-22,60.09204878077087,0
2023-04-23,59.635524324364376,0
2023-04-24,60.74049273597071,0
2023-04-25,57.263173044470086,0
2023-04-26,57.34823481207797,0
2023-04-27,58.5502279619092,0
2023-04-28,60.33170323457762,0
2023-04-29,58.65265731502143,0
2023-04-30,58.061279291454845,0
2023-05-01,59.75433690167363,0
2023-05-02,58.24806757342643,0
2023-05-03,58.966361911876724,0
2023-05-04,58.00305189812046,0
2023-05-05,58.42762926925539,0
2023-05-06,59.761956492427224,0
2023-05-07,59.05274946332015,0
2023-05-08,57.064958292769816,0
2023-05-09,57.01811919747502,0
2023-05-10,59.355252071778324,0
2023-05-11,59.273964575080704,0
2023-05-12,57.84235120837538,0
2023-05-13,58.92855991831998,0
2023-05-14,55.757607289815624,0
2023-05-15,55.74185436950326,0
2023-05-16,57.44187355431362,0
2023-05-17,59.04925085378658,0
2023-05-18,58.787010943117245,0
2023-05-19,55.11468112308105,0
2023-05-20,56.350655951308916,0
2023-05-21,56.00752185979616,0
2023-05-22,57.31422994513812,0
2023-05-23,57.03310015702691,0
2023-05-24,55.664305619103395,0
2023-05-25,54.32454693830851,0
2023-05-26,53.92676511182372,0
2023-05-27,55.197762259216525,0
2023-05-28,56.86054422218778,0
2023-05-29,53.739097738166194,0
2023-05-30,56.6845819679565,0
2023-05-31,54.23133212928234,0
2023-06-01,53.71129805696812,0
2023-06-02,53.39543555747626,0
2023-06-03,52.78728512192302,0
2023-06-04,56.27150368260077,0
2023-06-05,53.99505476878629,0
2023-06-06,53.772847905608764,0
2023-06-07,54.88178801844198,0
2023-06-08,54.19867960372444,0
2023-06-09,52.177712639419454,0
2023-06-10,54.84177704293441,0
2023-06-11,55.04194979748448,0
2023-06-12,53.82997284847847,0
2023-06-13,51.64922795410972,0
2023-06-14,54.86506829512763,0
2023-06-15,53.49955903011015,0
2023-06-16,54.21351169630785,0
2023-06-17,51.35352207495417,0
2023-06-18,51.22901574803983,0
2023-06-19,52.42642286231628,0
2023-06-20,52.49420381539084,0
2023-06-21,50.016903187009994,0
2023-06-22,51.99839471550778,0
2023-06-23,52.74182846885399,0
2023-06-24,49.92294730160608,14
2023-06-25,49.39404491230103,4
2023-06-26,52.411188053426315,0
2023-06-27,51.24508211792602,0
2023-06-28,49.03281717741846,33
2023-06-29,49.040012423006104,46
2023-06-30,49.00903520595372,0
2023-07-01,49.21348221652591,17
